xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
1,XXDJ201906012,中外合作办学模式下高校院系党建工作研究,茹莉,"当前高等教育中外合作办学进入调整结构、提质增效的新时期,高校相关院系党组织应充分发挥政治核心作用,把党的政治优势转化为推动改革发展的力量,以更高的政治站位、更严的建设标准、更强的治理能力来提升中外合作办学的水平。中国高等教育的快速发展使中外高校之间中心—外围的不平衡局面正在逐渐扭转,把握后发优势,通过加强顶层设计、培养干部队伍、开展特色教育、创新管理模式、重视统战工作、抓好作风建设等六个方面措施,着力探索以高水平党建推动中外合作办学改革发展的新路径。 ","中外合作办学;
                   党建工作;",学校党建与思想教育,2019年06期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201906012&uid=,"http://kns.cnki.net/kns/download.aspx?filename=VdUR1cTV2NnRlh3aYljcv82bYVXbWxmd2RVMZp3YrgUODZ1ZzxUTTt2VHJXbHhmRvI3KPhXcttWa5t2VEhmdGNlUQVmTWRUOiRWaUpnaYZ2bFhmMwRVYSdmeLZlcFl0Mvc3UKJVYWRTOzc0QV5WVElHWEJGVzV2R&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201906012
2,SIXI201803022,高校院系党组织落实党建主体责任的探索与实践,李帅,"高校院系党组织作为党在高校的基层组织,是密切联系广大师生的桥梁和纽带,承担着把党的路线方针政策落实到基层、充分调动广大师生的积极性、将习近平新时代中国特色社会主义思想特别是全面从严治党落到实处的重要责任。当前,高校院系党组织要通过强化""主业主责""意识,加强思想建设、强化组织保障、突出政治引领,切实将基层党建主体责任落到实处,推进全面从严治党向基层纵深发展,推动高校又好又快发展。 ","高校;
                   院系党组织;
                   党建主体责任;",思想教育研究,2018年03期,1002-5707,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SIXI201803022&uid=,"http://kns.cnki.net/kns/download.aspx?filename=SlWV3dWQZRmewwmYiJnRqRVdVJ2QRFHdrsUMapGRMpmT1NGNLBHTQRHNzVHcD1kMopWR3gWRQpUeMNUbtZVe2I0cPFDbQpVTrt0MQR2dIJ3Ssx0YmhDS4QTVjZUT1gTcDdDU2UkM2kHZThlMi92dzJGUCJXUkhTd&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SIXI201803022
3,SLLJ201801014,坚持以政治建设统领高校院系党建工作,陈秋生,"在高校院系党建中,坚持以政治建设为统领,就能牢牢紧扣高校党建的枢纽、抓住高校党建的根本,对于坚持党对高校的全面领导、坚持社会主义办学方向,培养又红又专、德才兼备、全面发展的中国特色社会主义事业建设者和接班人具有重大而深远的意义。目前,高校院系党组织建设中存在党性意识不强、组织观念淡薄、驾驭能力不足等问题。全面加强院系党建工作,坚持以政治建设为统领,要构建强化思想政治引领的干部素养与能力提升机制,强化党组织主导作用发挥的党政联席会议制度,构建强化党组织政治功能发挥的科学化管理体系,强化党组织资源整合配置能力的支撑保障机制。 ","高校院系;
                   党建;
                   政治建设;
                   党建质量;",思想理论教育,2018年01期,1007-192X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SLLJ201801014&uid=,"http://kns.cnki.net/kns/download.aspx?filename=HNWRygHZRpXZ69kQVRVS2dXawkFTTJ0ZJFWYxQFO2AjVXN0ZtJ3Mwl2YWRXbwNkWqJzS5h0Zvd3aSVXUsRURRxmN59kbtRlYnhEcatkcuV2KzQFbPNEdvcla3hjTykVR0tUZpNkZi1GRWN3cyZGd54WYiRnbzcHd&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SLLJ201801014
4,SLLJ201711015,高校院系党支部建设的突出问题与对策研究,覃文忠 沈艺 王瑞杰,"高校院系党支部是党在高校全部工作和战斗力的基础,担负着贯彻党的教育方针、立德树人、教育服务党员的根本任务。在推进高等教育改革与发展的新形势下,对照全面从严治党的新要求,院系党支部建设存在着党支部设置适应度不高、党务工作干部的胜任力还不强、党支部组织生活严肃性不足、党支部工作的保障机制不够健全等问题。加强高校院系党支部建设,要从组织建设、组织生活、书记队伍建设和保障机制等方面着手。 ","高校党建;
                   院系党支部;
                   组织建设;
                   组织生活;
                   书记队伍建设;
                   保障机制;",思想理论教育,2017年11期,1007-192X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SLLJ201711015&uid=,"http://kns.cnki.net/kns/download.aspx?filename=v0EWzM1YCtkeHdjcn1ESJx0SKdDUWxmWlJWapF3Lnlma5s2NvBzcGZmbHZ3VQBja2I2ZJpWdLRGdlV0ZCB1dLN0LzlXVHNHSq9kb3gzczknYycDRkFGcRNlbQJ2c5JDTwIzNod0NSdkSmBne0JHS6ZmT0d2U3s0a&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SLLJ201711015
5,XXDJ201720008,依托人才培养的高校院系研究生党建模式构建,王培 张洺绮 康月娇,"研究生党建工作是党的路线方针政策在高校、院系、研究生群体中得以贯彻落实的基础和保证,北京师范大学环境学院分党委在研究生党建工作中,紧紧围绕高校的人才培养功能,结合研究生特点与需求,分析依托人才培养的高校院系研究生党建模式的构建意义与思路,依托人才培养机构、引入人才培养理念、借力人才培养团队,构建出全覆盖、清单化、共建式的高校院系研究生党建新模式。 ","研究生;
                   院系党建;
                   人才培养;",学校党建与思想教育,2017年20期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201720008&uid=,"http://kns.cnki.net/kns/download.aspx?filename=xIjVDdjbslDWqVUbwlkNTJnVoN0YTlXeNJzNTxkZPl3YW5UNUBVSzYVT5FDdYJGUGllUzF1cL10YJRHVyh3M08CVzsyVSlHWClkN2oWcwhTdDdlSL9mSvdUaPNVaNhGN4YFbGFUOr80YstSUYF1K6dUNrcEa1U1b&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201720008
6,XXDJ201704006,习近平“全面从严治党”思想的主要内容及对加强高校院系党建工作的现实价值,谢永鑫,"习近平的""全面从严治党""思想是对改革开放以来管党治党方略的延续与创新,是由治理要求、治理手段、治理重点、治理原则等方面构成的内容体系。它更加突出治党的""全面性""和""严厉性"",更加强调思想建党和制度治党的结合。这就要求高校在落实院系党建工作中,应做到思想教育与严明纪律相结合、完善管理机制与推进党建实际工作相结合、加强监督与强化问责相结合、严格管理和热情关心院系干部相结合,从而提高高校院系党建工作的科学化水平。 ","习近平;
                   全面从严治党;
                   党建工作;",学校党建与思想教育,2017年04期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201704006&uid=,"http://kns.cnki.net/kns/download.aspx?filename=Bt0M4g2MNFnbGtiSXJ3crEjQB5WM2YUNDFXUE5EN2YTayYVOv02Sa9SZORzYLp3YI9yVYF3Yqp3VOxGeDJjSR92MwhTepJFMVJDMKlzLvQUdYdWY0p1VRNmRaNTcwNkalVkbvIzZqBHdNRlbtl0Y0c1brYET4c1U&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201704006
7,SLLJ201612013,高校落实基层党建工作责任制现状分析及对策——基于上海高校的调研,滕建勇 曹鹏 杨成龙,"党建工作责任制是贯彻落实党要管党、从严治党的重要举措。上海高校通过年度自查、述职评议,增强了高校党组织负责人的党建责任意识,夯实了基层党建工作的基础和保障;通过试点探索,积累了强化党建责任制经验;通过课题研究,形成了党建责任制建设的相关理论成果。但在贯彻落实基层党建工作责任制的重要性、内涵认识上仍存在不足,相关制度有待进一步健全,队伍状况有待进一步改善,考评指标有待进一步明晰,监督问责有待进一步强化。健全和落实高校基层党建工作责任制,教育主管部门要明确责任清单,健全基层党建工作责任制体系,强化分类指导,完善考核评价方式,注重经验推广,发挥先进典型示范引领作用,强化考评结果运用,加强追效问责;高校层面要分解党建责任,加强二级单位党组织工作力量,推动二级单位党建工作责任落实,扩大基层党员群众参与,提高党建工作责任制考核公信度,加大党建资源投入。 ","高校;
                   基层党建;
                   党建工作责任制;",思想理论教育,2016年12期,1007-192X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SLLJ201612013&uid=,"http://kns.cnki.net/kns/download.aspx?filename=pRVNZlkM6BVYPVVO1lHdRNlUxZlNPpFexZ2Ur4WbqlTaZtmWu5GasFFOOpWQyYTWGF0MlhlWjl2Rqp1akN2KE9GRlF3Tvo2VSlDOHVHRxtESUlnSn9ie4YlVxQjUYdDeodGVP1ERQhmVjxGMhpGTPh3TzATTthET&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SLLJ201612013
8,GJXZ201609011,高校院系党建与业务协同推进机制探索,李望平 李照,"高校院系重业务、轻党建的思想观念仍普遍存在,党建与业务的互补性没有被充分认识,二者协同行动落实不够到位,原因主要源自文化沟通、制度操作和系统运行三个层面的不足。应从凝聚群体文化共识、创新制度实现形式、优化组织要素结构等方面大力推进党建与业务理念协同、决策协同,实施协同机制建设。 ","党建工作;
                   业务工作;
                   协同机制;",国家教育行政学院学报,2016年09期,1672-4038,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GJXZ201609011&uid=,"http://kns.cnki.net/kns/download.aspx?filename=28mV3cEOURHe19ycrhERG5mYyRndwEnVhFXc4RzVvFEcypWW3pldQVDZpJWbMpWatJGe4QVbDd0Ss1WV4MFOXBzZRZGVvtiZydEO4QXaNNnSVNDbpVTQHJUMYZUbGFmNqZHazJkWvkEaxZUVwVzdh5kVKx2LRZ3R&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GJXZ201609011
9,SLLJ201607013,高校落实院系党建工作责任制研究,崔运花 李宁蔚 徐玥,"高校落实院系党建工作责任制是落实全面从严治党责任的有力抓手,要重点针对院系党建工作责任制落实过程中存在的主要问题,从建立长效机制的角度出发,强化责任主体意识、凝练责任制主要内容、科学设置考核指标、合理构建评价方式、严格奖惩问责,探索建立深入推进和落实院系党建工作责任制的机制。 ","高校院系;
                   党建工作;
                   党建工作责任制;",思想理论教育,2016年07期,1007-192X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SLLJ201607013&uid=,"http://kns.cnki.net/kns/download.aspx?filename=tdnUOdWSGZUMLNGVDR3R0pXTYpHS3VnU4lzQ6hUV3FGRvQWUOtUeOZ0aVhjdnxkbxd0VKdkVYx2cnllUW9yYkZGMhNlRCl2UUJXc0UFOmVXdOdkZGtGaURHNsdmV15mRallR4lzSNlmQGh3bpx2cjRHUK9mT0EXT&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SLLJ201607013
10,SLLJ201606014,高校院系党组织书记队伍建设现状分析与对策,覃文忠 王瑞杰 沈艺,"高校院系党组织书记队伍是贯彻党的教育方针、保证社会主义大学办学方向、落实立德树人根本任务、推进高等教育综合改革发展的重要力量。调查发现,高校院系党组织书记队伍建设存在高校党委重视程度不够,书记队伍发挥主体责任的力度还不强,党员与群众对书记的认可度有待提高,书记的自我认同度不够,组织建设和制度建设不完善等问题。根据高校院系党组织书记队伍建设的定位要求,针对队伍建设中存在的突出问题,适应高等教育综合改革新的形势与新的要求,要按照职业化与专业化标准加强队伍建设,落实落细院系党政联席会议制度,进一步建立健全党建工作保障机制。 ","高校院系;
                   书记队伍;
                   党的建设;",思想理论教育,2016年06期,1007-192X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SLLJ201606014&uid=,"http://kns.cnki.net/kns/download.aspx?filename=FNjMjR2RsZ2QqN0czUHVzlmcnBTTnhzLzdzLGdnYml1a0ZzbS5Wc5pmM09mcV5EcllWd4dGe2lVZsFVdrIWRMVUQvZUNWtyTqRlVz40QXF3NkVWZ1lnZPpEV0cUW1QGVXljZ0oXY1IXd5MXa5MWWUplNmdXOvYmN&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SLLJ201606014
